title,company,location,link
[개발]Python 백엔드 개발자(정규직),"
위메프",대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=a4946f6098077a45&tk
Data Scientist,"
Koniag, Inc.",대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=193bfe67eed05c31&tk
현대무벡스 2020년 하반기 경력사원 수시,"
현대무벡스",대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=dfe6d1dc1475538e&tk
블록체인 시스템 엔지니어 채용(무관),"
네오위즈",대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=ef10a663799ced7d&tk
Mid-Market Sales Engineer,"
DataDog",대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=52a593e64d404756&tk
보훈대상자 인재 채용,"
네오위즈",대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=dfcb86f156623e5c&tk
[아이콘트롤스] 2020년 경력 직원 (데이터분석),"
현대산업개발",대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=792d3ac05912a792&tk
"[해외취업] 베리텍, 시스템개발자/응용프로그래머","
에임하이글로벌",대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=3e2ccf374eae0c90&tk
Senior Design Consultant,"
Synopsys",대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=7e9a745cd8bdcbe3&tk
네트워크 엔지니어,"
이베이 코리아",대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=e5ab641672f761c3&tk
Process & Data Scientist,"
Applied Materials Inc.",대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=e56ad55002666f4c&tk
[해외취업] AI 엔지니어,"
株式会社ASCOM",대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=cdc69e78bbccefd3&tk
"[리가시 버슘] QA Engineer, 평택 공장","
Merck KGaA",경기도,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=f46fc1d52116909a&tk
Software Engineer,"
Google",서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=d2df92c32bd4a203&tk
